complaint_text,category,priority
There is a missing signboard in residential area endangering pedestrians.,Signboard,Medium
There is a missing signboard on highway creating safety risks.,Signboard,Medium
There is a deep pothole on highway creating safety risks.,Pothole,Medium
There is a broken traffic signal in residential area endangering pedestrians.,Signal,Medium
There is a broken traffic signal at main junction creating safety risks.,Signal,Medium
There is a damaged footpath near hospital leading to traffic congestion.,Footpath,Medium
There is a broken traffic signal in residential area causing accidents.,Signal,High
There is a damaged footpath on highway endangering pedestrians.,Footpath,Medium
There is a deep pothole at main junction causing accidents.,Pothole,High
There is a broken traffic signal in residential area creating safety risks.,Signal,Medium
There is a broken traffic signal near school endangering pedestrians.,Signal,Medium
There is a missing signboard on highway creating safety risks.,Signboard,Medium
There is a damaged footpath near school causing accidents.,Footpath,High
There is a deep pothole near school leading to traffic congestion.,Pothole,Medium
There is a missing signboard on highway creating safety risks.,Signboard,Medium
There is a missing signboard on highway endangering pedestrians.,Signboard,Medium
There is a deep pothole near hospital endangering pedestrians.,Pothole,Medium
There is a deep pothole near hospital endangering pedestrians.,Pothole,Medium
There is a street light not working near hospital causing accidents.,Lighting,High
There is a deep pothole near school endangering pedestrians.,Pothole,Medium
There is a missing signboard near hospital endangering pedestrians.,Signboard,Medium
There is a damaged footpath in residential area endangering pedestrians.,Footpath,Medium
There is a broken traffic signal on highway causing accidents.,Signal,High
There is a street light not working near school endangering pedestrians.,Lighting,Medium
There is a street light not working in residential area causing accidents.,Lighting,High
There is a deep pothole near school leading to traffic congestion.,Pothole,Medium
There is a missing signboard in residential area creating safety risks.,Signboard,Medium
There is a deep pothole on highway leading to traffic congestion.,Pothole,Medium
There is a street light not working near hospital leading to traffic congestion.,Lighting,Medium
There is a missing signboard near hospital leading to traffic congestion.,Signboard,Medium
There is a broken traffic signal near school leading to traffic congestion.,Signal,Medium
There is a damaged footpath on highway leading to traffic congestion.,Footpath,Medium
There is a missing signboard on highway endangering pedestrians.,Signboard,Medium
There is a street light not working near hospital endangering pedestrians.,Lighting,Medium
There is a deep pothole near school leading to traffic congestion.,Pothole,Medium
There is a broken traffic signal at main junction leading to traffic congestion.,Signal,Medium
There is a deep pothole near hospital endangering pedestrians.,Pothole,Medium
There is a street light not working near school creating safety risks.,Lighting,Medium
There is a broken traffic signal on highway creating safety risks.,Signal,Medium
There is a broken traffic signal near hospital leading to traffic congestion.,Signal,Medium
There is a missing signboard on highway creating safety risks.,Signboard,Medium
There is a missing signboard near hospital leading to traffic congestion.,Signboard,Medium
There is a damaged footpath near hospital causing accidents.,Footpath,High
